iter	Logloss
178	0.1630789755
179	0.162436375
180	0.1619726363
181	0.1612793864
182	0.1605740442
183	0.1597881842
184	0.1591626161
185	0.1582942891
186	0.1576415862
187	0.1569674979
188	0.1562581617
189	0.1555720082
190	0.1549627821
191	0.1541820068
192	0.1535625563
193	0.1528955863
194	0.1522769182
195	0.1517366386
196	0.1509793105
197	0.1504841402
198	0.1498176837
199	0.1489609252
200	0.1484252898
201	0.147908931
202	0.1473861487
203	0.1468963795
204	0.1464225595
205	0.145874852
206	0.1453957548
207	0.1447940388
208	0.1444140346
209	0.1438375926
210	0.1431692066
211	0.1425465349
212	0.1419369511
213	0.1415020043
214	0.1409430243
215	0.1404951329
216	0.1398822158
217	0.1393120259
218	0.1388335971
219	0.1384981923
220	0.1381725396
221	0.1376476007
222	0.1372832053
223	0.1367926512
224	0.1361087135
225	0.1355920274
226	0.1351112421
227	0.1346527335
228	0.1342533724
229	0.1336701943
230	0.133151489
231	0.1325195968
232	0.1321518246
233	0.131680344
234	0.1312752384
235	0.1308167133
236	0.1304657628
237	0.130004755
238	0.1294741145
239	0.1291364669
240	0.1286113087
241	0.128242428
242	0.1279171775
243	0.1274065199
244	0.1269982254
245	0.1266905287
246	0.1262664534
247	0.1257053419
248	0.1253311802
249	0.1248251754
250	0.1244560081
251	0.1240456738
252	0.1236680254
253	0.1231090963
254	0.1226674335
255	0.122178614
256	0.1219306458
257	0.121479468
258	0.1209956952
259	0.1203250835
260	0.1199221423
261	0.119581143
262	0.1191148434
263	0.1186759267
264	0.1182157561
265	0.1178662988
266	0.1174808496
267	0.1171970988
268	0.1168227473
269	0.1165528073
270	0.1162960873
271	0.115888054
272	0.1155027528
273	0.1151850663
274	0.1147323863
275	0.1143562031
276	0.1140314545
277	0.1136843564
278	0.1134368743
279	0.1131129605
280	0.1127994384
281	0.1125329839
282	0.1121965729
283	0.1118512646
284	0.1116512241
285	0.1114656318
286	0.1111683879
287	0.1109379748
288	0.110583414
289	0.1102820932
290	0.1099447319
291	0.1095632543
292	0.109287926
293	0.1089329769
294	0.1086734051
295	0.1083063359
296	0.1080180169
297	0.107692703
298	0.1073747193
299	0.1070778614
300	0.1066942499
301	0.1063374499
302	0.1060048913
303	0.1058435566
304	0.1055796136
305	0.1052192129
306	0.1048372224
307	0.1045809684
308	0.1041485292
309	0.1038591366
310	0.1036312547
311	0.1032947711
312	0.1029433557
313	0.102771093
314	0.1025265799
315	0.1022322247
316	0.1018659801
317	0.1016916512
318	0.1014276149
319	0.1012186964
320	0.1009523766
321	0.1006444319
322	0.1003064508
323	0.1001554992
324	0.0999594808
325	0.09965804706
326	0.09939332715
327	0.09897875753
328	0.0987693253
329	0.09846521282
330	0.09824043364
331	0.09812856183
332	0.09779717618
333	0.09776606982
334	0.09752194967
335	0.09722877969
336	0.09694518277
337	0.0967788092
338	0.09658861887
339	0.09633817633
340	0.09607675762
341	0.09579869354
342	0.09547648205
343	0.0952609969
344	0.09512709052
345	0.09497262203
346	0.09471871813
347	0.09449628846
348	0.09420489637
349	0.09401622604
350	0.0937198876
351	0.09349031561
352	0.09316180221
353	0.09285988504
354	0.09264025166
355	0.09242950912
356	0.09223619194
357	0.09205900533
358	0.09179504591
359	0.09158108439
360	0.09137961574
361	0.0910872363
362	0.09086912425
363	0.09059479593
364	0.09041152304
365	0.09020233617
366	0.09006960669
367	0.08989321855
368	0.0896887667
369	0.08954577301
370	0.08936593209
371	0.08918488818
372	0.08894375916
373	0.08863232506
374	0.08844568525
375	0.08820911788
376	0.08801790717
377	0.08783443053
378	0.08763030427
379	0.08745700137
380	0.0872480932
381	0.08710111013
382	0.08693652635
383	0.08681806633
384	0.08663207342
385	0.08644990578
386	0.08625864917
387	0.08602911548
388	0.08575949411
389	0.08557873651
390	0.08536350694
391	0.08518849879
392	0.08493140728
393	0.0848021002
394	0.08463192283
395	0.08438359403
396	0.084139002
397	0.08390560639
398	0.08367124984
399	0.08339429067
400	0.08325308049
401	0.08305231983
402	0.08286585834
403	0.08269578895
404	0.08262386646
405	0.08249122515
406	0.08225224058
407	0.08213547954
408	0.08190222922
409	0.08183519299
410	0.08165492014
411	0.08145951828
412	0.08131085968
413	0.08114037818
414	0.08090414433
415	0.08076577537
416	0.08059248171
417	0.08046103448
418	0.0803287485
419	0.08022697712
420	0.08005844688
421	0.07990855028
422	0.07972000576
423	0.07954387189
424	0.07946841671
425	0.07926144395
426	0.07914586378
427	0.07900895504
428	0.07879614335
429	0.07858158842
430	0.07836215087
431	0.07818234363
432	0.07802341453
433	0.07784757984
434	0.07769523334
435	0.07753957309
436	0.0774525328
437	0.07736466697
438	0.07717795022
439	0.07700881766
440	0.07697323848
441	0.07685688427
442	0.07668532658
443	0.07656958691
444	0.07644424742
445	0.07624279627
446	0.07606874972
447	0.07594743924
448	0.075796444
449	0.07564596489
450	0.07548949593
451	0.07519876297
452	0.07504438694
453	0.07495684076
454	0.0748290768
455	0.07469321288
456	0.07455300096
457	0.07445679906
458	0.07428738021
459	0.07415687113
460	0.07395789102
461	0.0738204219
462	0.07363463175
463	0.07347872416
464	0.07335391996
465	0.07321067431
466	0.07313324903
467	0.07304879998
468	0.07290094744
469	0.07276928755
470	0.07267517826
471	0.07249476276
472	0.07230432476
473	0.07215588674
474	0.0720273111
475	0.07188601408
476	0.07170603216
477	0.07149292161
478	0.07134442052
479	0.07125887646
480	0.07110601713
481	0.0709792861
482	0.07080521016
483	0.07061774315
484	0.07044151483
485	0.07024331634
486	0.07011988949
487	0.06999681333
488	0.06993822048
489	0.06980465192
490	0.06969308457
491	0.06954185784
492	0.06942652797
493	0.06929191856
494	0.06911224672
495	0.06900372201
496	0.06888534554
497	0.06877334032
498	0.06865116037
499	0.0685391862
500	0.0684306331
501	0.06826961206
502	0.06815323935
503	0.06810083218
504	0.06802414923
505	0.06789512119
506	0.06779580037
507	0.06765546099
508	0.06754609224
509	0.06750119624
510	0.06736737275
511	0.06722034972
512	0.06714051912
513	0.06706676985
514	0.06687479931
515	0.06681351979
516	0.06664750517
517	0.06647750017
518	0.06636544608
519	0.06617749959
520	0.06608741501
521	0.0660009503
522	0.06592368353
523	0.06578023876
524	0.06563040622
525	0.06550510768
526	0.06537391208
527	0.0652699913
528	0.065139223
529	0.06505270744
530	0.0649651213
531	0.06484683002
532	0.06475932644
533	0.06460704037
534	0.06452520336
535	0.06440087699
536	0.0642504243
537	0.06413768731
538	0.06400048436
539	0.06388465189
540	0.06377126107
541	0.06364723718
542	0.06351436406
543	0.06345343986
544	0.06326671584
545	0.06319175863
546	0.06306679493
547	0.06292701626
548	0.06279574537
549	0.06270779731
550	0.06261369858
551	0.06252381016
552	0.0623515841
553	0.06225904401
554	0.06211689569
555	0.06201084895
556	0.06184330541
557	0.06173467042
558	0.06160208393
559	0.06154931153
560	0.06145739159
561	0.0613423609
562	0.06123888063
563	0.06113467784
564	0.06104445722
565	0.06099056207
566	0.06082153981
567	0.0606872441
568	0.06056826663
569	0.0604559226
570	0.06034209127
571	0.0602128902
572	0.06013274061
573	0.06006178829
574	0.06000320931
575	0.05989570565
576	0.05979138464
577	0.05969552915
578	0.05958801095
579	0.05947692837
580	0.05938059802
581	0.05929183366
582	0.05914881157
583	0.05904339819
584	0.05886119158
585	0.05876145733
586	0.05867437048
587	0.05864675025
588	0.05856491654
589	0.0584797562
590	0.05839530121
591	0.05824629356
592	0.05813995028
593	0.05799324096
594	0.05792547593
595	0.05786400951
596	0.0577807935
597	0.0576762737
598	0.05758663228
599	0.05752005405
600	0.05741906628
601	0.05734217794
602	0.05727914496
603	0.05713375321
604	0.05705222132
605	0.05695289258
606	0.05681584152
607	0.05674674174
608	0.05664034035
609	0.0565708093
610	0.0565128934
611	0.05639278856
612	0.05629464266
613	0.05616008278
614	0.05608879958
615	0.05596382334
616	0.05588348817
617	0.05578765975
618	0.05566892201
619	0.05557841013
620	0.05547920951
621	0.05536938836
622	0.05530513158
623	0.05519131412
624	0.05508750033
625	0.05495900328
626	0.0548875814
627	0.05479011641
628	0.0547053596
629	0.05461756675
630	0.05450009441
631	0.05442050421
632	0.05431894252
633	0.05420136914
634	0.05409252875
635	0.05398583544
636	0.05390311674
637	0.05379384178
638	0.05368036048
639	0.05359314221
640	0.05349190612
641	0.05341071633
642	0.05331968469
643	0.05321727235
644	0.05316993338
645	0.05308852037
646	0.05301695055
647	0.05289484193
648	0.05281953931
649	0.0527441528
650	0.05263215617
651	0.05257346293
652	0.05245596814
653	0.05236333757
654	0.0522706086
655	0.05215238996
656	0.0521099891
657	0.05205516472
658	0.05196908504
659	0.05189743267
660	0.05186679159
661	0.05178299175
662	0.05173713679
663	0.05163156623
664	0.05156005849
665	0.05151042846
666	0.05141432992
667	0.0513393311
668	0.05125468391
669	0.05115650697
670	0.05105471413
671	0.05095179523
672	0.05088138382
673	0.05082946207
674	0.05068917288
675	0.05058805632
676	0.05051500579
677	0.05044867259
678	0.05037125524
679	0.050309487
680	0.05019825978
681	0.05009945212
682	0.05002114317
683	0.04993732682
684	0.04983198412
685	0.04972670085
686	0.04962373374
687	0.04956496786
688	0.04950167532
689	0.04945063261
690	0.04935110375
691	0.04929681036
692	0.04920135707
693	0.04916298092
694	0.04910619635
695	0.04904821837
696	0.0490150379
697	0.04894268744
698	0.04887662898
699	0.04877997832
700	0.04874407882
701	0.04870967984
702	0.04862021872
703	0.04856861595
704	0.04848324625
705	0.04839775173
706	0.04832970997
707	0.04827290559
708	0.04820326887
709	0.04811925505
710	0.04801176195
711	0.04797759545
712	0.04789340529
713	0.047797705
714	0.04773488401
715	0.0476943337
716	0.04761403353
717	0.0475342135
718	0.04743493165
719	0.04736375346
720	0.04729040772
721	0.04723274543
722	0.04717510823
723	0.04706832445
724	0.04700095964
725	0.04692121886
726	0.04687092509
727	0.04680023233
728	0.04675306045
729	0.04663904024
730	0.04656533125
731	0.04650980944
732	0.04647556368
733	0.04640419199
734	0.04634936959
735	0.04628682269
736	0.04623814633
737	0.04616041527
738	0.04611958889
739	0.0460582823
740	0.04595373608
741	0.04592619378
742	0.04580184693
743	0.04572756601
744	0.04567315704
745	0.04559199037
746	0.04553984539
747	0.04548059276
748	0.0454147047
749	0.04530609215
750	0.04523367235
751	0.04518426422
752	0.04511283705
753	0.04501708855
754	0.04492649015
755	0.04483071589
756	0.04475803124
757	0.04467985703
758	0.04460907709
759	0.04457308843
760	0.04449488185
761	0.04445478196
762	0.04435227915
763	0.04428580791
764	0.04422336602
765	0.0441602201
766	0.04407897352
767	0.04400367948
768	0.04394405833
769	0.04390609826
770	0.04387423867
771	0.04382836125
772	0.04378126203
773	0.04373671143
774	0.04366921982
775	0.04359007608
776	0.04355138689
777	0.04346956573
778	0.04339188882
779	0.04334252759
780	0.04329472566
781	0.04325883012
782	0.04320524274
783	0.04312153536
784	0.04306777032
785	0.04298912521
786	0.04287799772
787	0.0428090756
788	0.04275291646
789	0.04271332379
790	0.04263892795
791	0.0425725003
792	0.04252954533
793	0.04248414277
794	0.04238451485
795	0.04229046962
796	0.04222943116
797	0.04216452847
798	0.04214198239
799	0.04210721819
800	0.0420705189
801	0.04201893265
802	0.0419592547
803	0.04188317011
804	0.04183032572
805	0.0417242037
806	0.04162808733
807	0.04154725881
808	0.04149639772
809	0.04144564692
810	0.04137667593
811	0.04129576947
812	0.04123217379
813	0.04116722752
814	0.04110765721
815	0.04104968319
816	0.04099471219
817	0.04093847579
818	0.0408924927
819	0.04081789344
820	0.04074321889
821	0.04067513553
822	0.04057667724
823	0.0405154215
824	0.04046474269
825	0.04040533486
826	0.04036378464
827	0.04026986093
828	0.04024063847
829	0.04018204826
830	0.04010354713
831	0.0400500139
832	0.03999554682
833	0.03993134023
834	0.03984705365
835	0.03980101046
836	0.03976124079
837	0.03967111989
838	0.03962115039
839	0.03957713608
840	0.03951867399
841	0.0394594709
842	0.03944390434
843	0.0393908288
844	0.03933928614
845	0.03929957789
846	0.03926105975
847	0.03920517073
848	0.03912477216
849	0.03906033904
850	0.03899807877
851	0.03892457782
852	0.03888848944
853	0.03882965091
854	0.03876525742
855	0.03870300573
856	0.03864220899
857	0.03859516128
858	0.03853976231
859	0.03848626145
860	0.03844943601
861	0.03841445585
862	0.03836865438
863	0.03829484963
864	0.03823256823
865	0.03819518472
866	0.03812001154
867	0.03806417669
868	0.03802669213
869	0.03796271868
870	0.03785048495
871	0.03778607759
872	0.03772518509
873	0.03767048091
874	0.03761575097
875	0.03755694941
876	0.03751792406
877	0.03744407308
878	0.03736345788
879	0.03731528544
880	0.03725589874
881	0.03719355855
882	0.03710645454
883	0.037062534
884	0.03700573028
885	0.03695475626
886	0.03693024075
887	0.03686980395
888	0.03683684605
889	0.03676725689
890	0.03668599512
891	0.03661772881
892	0.03657394367
893	0.03650721949
894	0.03645403894
895	0.0364063889
896	0.03633849178
897	0.03627519925
898	0.03620544761
899	0.03617569284
900	0.03612579665
901	0.03604656838
902	0.03598052775
903	0.03591360874
904	0.03584334659
905	0.03576604547
906	0.03571472009
907	0.03565998883
908	0.03560133588
909	0.03554215524
910	0.03551333036
911	0.03545586158
912	0.03540214805
913	0.03536915713
914	0.03532481326
915	0.0352547281
916	0.03519771766
917	0.0351665687
918	0.0351066061
919	0.03506404145
920	0.03502758454
921	0.03498657655
922	0.03496027917
923	0.03491909946
924	0.03485746001
925	0.03481401235
926	0.0347499821
927	0.03469715554
928	0.03464908679
929	0.03459062471
930	0.03452812271
931	0.03448004934
932	0.03440383729
933	0.03435376212
934	0.03431298858
935	0.03425891115
936	0.03421375164
937	0.03417160769
938	0.03414733984
939	0.03409579256
940	0.03404688373
941	0.03400342881
942	0.03394747045
943	0.03390673785
944	0.03386815037
945	0.03380180528
946	0.03374283862
947	0.03370062136
948	0.03362185671
949	0.03358329036
950	0.03354069004
951	0.03348854638
952	0.03343700108
953	0.03339046917
954	0.03335173044
955	0.03330923844
956	0.03327315336
957	0.03322145615
958	0.03318110265
959	0.03313142375
960	0.03308480202
961	0.03304581761
962	0.03300816399
963	0.03292725819
964	0.03287657939
965	0.03282788123
966	0.03280138309
967	0.03274915621
968	0.032699227
969	0.03263951669
970	0.03259832707
971	0.03253448043
972	0.03248459877
973	0.03243878145
974	0.03237638249
975	0.03231666557
976	0.03226590817
977	0.03220488952
978	0.03213291815
979	0.03210287543
980	0.03207023322
981	0.032043885
982	0.03201196861
983	0.03196538122
984	0.0319169664
985	0.03187662611
986	0.03181303901
987	0.0317595857
988	0.03171202813
989	0.03166440187
990	0.03161334595
991	0.03155857242
992	0.03151593578
993	0.03148324536
994	0.03143218812
995	0.03137838279
996	0.03130420291
997	0.03126181526
998	0.03121938996
999	0.0311473116
